dataset,method,proj_manifold_dist,pred_precision
2d_ellipse,delta,0.006304623652249574,1.0
2d_ellipse,eikonal,0.043353845737874507,0.82062576201221
2d_ellipse,vae,0.13088022023439408,0.4490275216284051
2d_figure_eight,delta,0.028402226418256758,0.47263684304599696
2d_figure_eight,eikonal,0.07112717404961585,0.26209488020518784
2d_figure_eight,vae,0.08287112414836884,0.18289032393764587
2d_looped_spiro,delta,0.04721014015376568,0.7717669919780421
2d_looped_spiro,eikonal,0.037563564255833626,0.6440390149760535
2d_looped_spiro,vae,0.08439618796110153,0.3839801312035541
2d_planar_arm_line_n2,delta,0.09408964961767197,0.5403248260843777
2d_planar_arm_line_n2,eikonal,0.08191497847437859,0.5685811315714198
2d_planar_arm_line_n2,vae,0.3493641674518585,0.1144041567787053
2d_sparse_sine,delta,0.06929841041564941,0.7619875679565762
2d_sparse_sine,eikonal,0.030282806232571603,0.9732837159561102
2d_sparse_sine,vae,0.03706923350691795,0.8862377871410082
2d_square,delta,0.016776889748871326,0.7519037360244698
2d_square,eikonal,0.014973018690943718,0.7852147647684463
2d_square,vae,0.040405625104904176,0.40702776428408977
3d_planar_arm_line_n3,delta,0.10231761336326599,0.3065630625484556
3d_planar_arm_line_n3,eikonal,0.1947363644838333,0.2295210263688104
3d_planar_arm_line_n3,vae,0.2676881968975067,0.14101103553221775
3d_spatial_arm_circle_n3,delta,0.173392915725708,0.03271762425674133
3d_spatial_arm_circle_n3,eikonal,0.002972327312454581,1.0
3d_spatial_arm_circle_n3,vae,0.04800246767699719,0.030713479174849755
3d_spiral,delta,0.260667097568512,0.05147369415186918
3d_spiral,eikonal,0.062042166292667386,0.7366666666666667
3d_spiral,vae,0.046564707159996034,0.17448976445924283
3d_torus_surface,delta,0.05877392441034317,0.5508431863367343
3d_torus_surface,eikonal,0.08769087940454483,0.46986741505322416
3d_torus_surface,vae,0.33399495482444763,0.12466905736635032
3d_twosphere,delta,0.04648377299308777,0.25044346517779403
3d_twosphere,eikonal,0.04427211880683899,0.23326720020087982
3d_twosphere,vae,0.07161572277545929,0.17973322383269333
3d_vz_2d_ellipse,delta,0.23795048594474794,0.07367949725547954
3d_vz_2d_ellipse,eikonal,0.026140597835183143,0.6691053391053392
3d_vz_2d_ellipse,vae,0.15991730391979217,0.06978609249086441
6d_spatial_arm_up_n6_py,delta,0.4467186570167542,0.0
6d_spatial_arm_up_n6_py,eikonal,0.14887644052505494,0.0
6d_spatial_arm_up_n6_py,vae,0.43590914011001586,0.0
6d_workspace_sine_surface_pose,delta,0.12927782535552979,0.028647822765469823
6d_workspace_sine_surface_pose,eikonal,0.037416500598192216,1.0
6d_workspace_sine_surface_pose,vae,0.06875799149274826,0.0404040404040404
