method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
eikonal,12d_dual_arm_traj,0,0.5584003329277039,0.05213047191500664,0.05213047191500664,,,0.17270438373088837,0.32381486892700195,0.3856959342956543,1.123651146888733,8128.0,4096.0,0.0,0.0005205428460612893,0.01708984375,0.7874015748031497,0.5341514945030212,19.0,1.2387280464172363,0.0038523213006556034,29.646095681004226
eikonal,12d_dual_arm_traj,1,0.5772323608398438,0.04174362123012543,0.04174362123012543,,,0.1718589961528778,0.3225243091583252,0.40537333488464355,1.2530100345611572,8128.0,4096.0,0.0,0.00037411710945889354,0.010009765625,0.749876968503937,0.5434967279434204,19.0166015625,1.351270079612732,0.0045580011792480946,28.87466123502236
eikonal,12d_dual_arm_traj,2,0.8425447344779968,0.03624926134943962,0.03624926134943962,,,0.2468063235282898,0.43035373091697693,0.595738410949707,1.5365536212921143,8128.0,4096.0,0.0,0.00026813242584466934,0.00048828125,0.6831938976377953,0.8102124929428101,19.134765625,1.2642545700073242,0.015874912962317467,27.84244417800801
eikonal,12d_dual_arm_traj,3,0.568488359451294,0.05928739160299301,0.05928739160299301,,,0.18082936108112335,0.3395797312259674,0.3876590132713318,1.119292974472046,8128.0,4096.0,0.0,0.0007793179247528315,0.0087890625,0.7716535433070866,0.5176915526390076,19.000732421875,1.2188284397125244,0.010294366627931595,28.059590142045636
eikonal,12d_dual_arm_traj,4,0.5702089071273804,0.0648355558514595,0.0648355558514595,,,0.18126536905765533,0.35396769642829895,0.38894352316856384,1.1348024606704712,8128.0,4096.0,0.0,0.00085269077681005,0.009765625,0.8495324803149606,0.5545264482498169,19.0,1.2074346542358398,0.004259937442839146,28.300269381026737
eikonal,12d_dual_arm_traj,5,0.8077507615089417,0.033094655722379684,0.033094655722379684,,,0.24142412841320038,0.4083530604839325,0.5663266181945801,1.433366298675537,8128.0,4096.0,0.0,0.000262443907558918,0.000732421875,0.6759350393700787,0.7684347629547119,24.581298828125,1.270172357559204,0.03321905806660652,29.008886248979252
eikonal,12d_dual_arm_traj,6,0.5796124339103699,0.050268594175577164,0.050268594175577164,,,0.1842988133430481,0.38037943840026855,0.3953136205673218,1.157238483428955,8128.0,4096.0,0.0,0.0005501413252204657,0.010009765625,0.7518454724409449,0.5013962984085083,19.00341796875,1.2235474586486816,0.003811965463683009,28.264025076990947
vae,12d_dual_arm_traj,0,0.2002437710762024,0.1866483837366104,0.1866483837366104,0.2002626657485962,0.08733824640512466,0.1197434738278389,0.244197279214859,0.0805002897977829,0.14871114492416382,8128.0,4096.0,0.0,0.008526584133505821,0.0966796875,0.49569389763779526,0.07329674810171127,1.0,1.1225508451461792,0.17389851808547974,4.555310891009867
vae,12d_dual_arm_traj,1,0.373729944229126,0.20474107563495636,0.20474107563495636,0.37771958112716675,0.1728547215461731,0.22617095708847046,0.6716731190681458,0.14755898714065552,0.5792912840843201,8128.0,4096.0,0.0,0.010931393131613731,0.0048828125,0.48523622047244097,0.17300914227962494,1.0,1.6188392639160156,0.21825914084911346,4.168885785038583
vae,12d_dual_arm_traj,2,0.22659696638584137,0.15444403886795044,0.15444403886795044,0.22307193279266357,0.09836342930793762,0.13901729881763458,0.3692448139190674,0.08757966756820679,0.16638842225074768,8128.0,4096.0,0.0,0.00561860017478466,0.067626953125,0.5414616141732284,0.08300524950027466,1.0,1.0484429597854614,0.10879088193178177,4.255634767003357
vae,12d_dual_arm_traj,3,0.21912506222724915,0.1874949187040329,0.1874949187040329,0.22357097268104553,0.10025891661643982,0.13248054683208466,0.30604973435401917,0.08664452284574509,0.1669841855764389,8128.0,4096.0,0.0,0.008405995555222034,0.06982421875,0.5225147637795275,0.08198469877243042,1.0,1.0748668909072876,0.15727081894874573,4.741374937992077
vae,12d_dual_arm_traj,4,0.21640998125076294,0.17179718613624573,0.17179718613624573,0.20658019185066223,0.08715156465768814,0.1304362565279007,0.31781449913978577,0.08597372472286224,0.1571546494960785,8128.0,4096.0,0.0,0.006456972099840641,0.07470703125,0.5983021653543307,0.08477553725242615,1.0,1.0702747106552124,0.11329911649227142,4.31750727200415
vae,12d_dual_arm_traj,5,0.359264075756073,0.2580840289592743,0.2580840289592743,0.35731643438339233,0.17722457647323608,0.20126982033252716,0.5837873220443726,0.15799427032470703,0.6715735793113708,8128.0,4096.0,0.0,0.01378642488270998,0.055419921875,0.4581692913385827,0.16600839793682098,1.0,1.4768121242523193,0.26847538352012634,4.388840425002854
vae,12d_dual_arm_traj,6,0.4634338915348053,0.23036497831344604,0.23036497831344604,0.4689139127731323,0.23901930451393127,0.25791507959365845,0.7188437581062317,0.20551881194114685,0.9707728624343872,8128.0,4096.0,0.0,0.01245903316885233,0.014892578125,0.4039124015748031,0.2508578896522522,1.0,1.6058907508850098,0.23472565412521362,4.518659579975065
